NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR,Código Município Completo
SALA 05,5004265.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,233.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA 06,5004266.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,173.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA 07,5004267.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,439.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA 3,5004263.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,325.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA VILA VALE TAUBATE 01,5004255.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,386.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA VILA VALE TAUBATE 02,5004256.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,192.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA VILA VALE TAUBATE 03,5004257.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,192.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA VILA VALE TAUBATE 04,5004258.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,177.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA VILA VALE TAUBATE 05,5004259.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,177.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA VILA VALE TAUBATE 06,5004260.0,00.779.721/0062-63,EM FUNCIONAMENTO,07/06/2021,15/03/2013,162.0,4.0,,,SIM,NÃO,SIM,2105 CINEMARK VIA VALE TAUBATÉ,24766.0,EM FUNCIONAMENTO,07/06/2021,,AV. DOM PEDRO I,7181.0,,JARDIM BARONESA,TAUBATE,12091-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
